date,value,contributed,cash_in,return,nav,drawdown
2021-01-01,1000.00000000,1000.00000000,1000.00000000,0.00000000,1.00000000,0.00000000
2021-01-04,1006.04676000,1000.00000000,0.00000000,0.00604676,1.00604676,0.00000000
2021-01-05,1012.08137000,1000.00000000,0.00000000,0.00599834,1.01208137,0.00000000
2021-01-06,1018.05474000,1000.00000000,0.00000000,0.00590206,1.01805474,0.00000000
2021-01-07,1023.91788000,1000.00000000,0.00000000,0.00575916,1.02391788,0.00000000
2021-01-08,1029.62253000,1000.00000000,0.00000000,0.00557139,1.02962253,0.00000000
2021-01-11,1035.12184000,1000.00000000,0.00000000,0.00534109,1.03512184,0.00000000
2021-01-12,1040.37103000,1000.00000000,0.00000000,0.00507108,1.04037103,0.00000000
2021-01-13,1045.32813000,1000.00000000,0.00000000,0.00476474,1.04532813,0.00000000
2021-01-14,1049.95458000,1000.00000000,0.00000000,0.00442584,1.04995458,0.00000000
2021-01-15,1054.21586000,1000.00000000,0.00000000,0.00405854,1.05421586,0.00000000
2021-01-18,1058.08209000,1000.00000000,0.00000000,0.00366740,1.05808209,0.00000000
2021-01-19,1061.52850000,1000.00000000,0.00000000,0.00325722,1.06152850,0.00000000
2021-01-20,1064.53586000,1000.00000000,0.00000000,0.00283305,1.06453586,0.00000000
2021-01-21,1067.09083000,1000.00000000,0.00000000,0.00240008,1.06709083,0.00000000
2021-01-22,1069.18620000,1000.00000000,0.00000000,0.00196363,1.06918620,0.00000000
2021-01-25,1070.82101000,1000.00000000,0.00000000,0.00152902,1.07082101,0.00000000
2021-01-26,1072.00059000,1000.00000000,0.00000000,0.00110157,1.07200059,0.00000000
2021-01-27,1072.73649000,1000.00000000,0.00000000,0.00068647,1.07273649,0.00000000
2021-01-28,1073.04628000,1000.00000000,0.00000000,0.00028878,1.07304628,0.00000000
2021-01-29,1072.95326000,1000.00000000,0.00000000,-0.00008669,1.07295326,-0.00008669
2021-02-01,2072.48609000,2000.00000000,1000.00000000,-0.00043541,1.07248609,-0.00052206
2021-02-02,2070.92520270,2000.00000000,0.00000000,-0.00075315,1.07167835,-0.00127481
2021-02-03,2068.77948993,2000.00000000,0.00000000,-0.00103611,1.07056797,-0.00230960
2021-02-04,2066.12953330,2000.00000000,0.00000000,-0.00128093,1.06919665,-0.00358757
2021-02-05,2063.06207883,2000.00000000,0.00000000,-0.00148464,1.06760928,-0.00506688
2021-02-08,2059.66858764,2000.00000000,0.00000000,-0.00164488,1.06585319,-0.00670343
2021-02-09,2056.04403783,2000.00000000,0.00000000,-0.00175977,1.06397753,-0.00845141
2021-02-10,2052.28562976,2000.00000000,0.00000000,-0.00182798,1.06203260,-0.01026394
2021-02-11,2048.49139476,2000.00000000,0.00000000,-0.00184879,1.06006913,-0.01209375
2021-02-12,2044.75899697,2000.00000000,0.00000000,-0.00182202,1.05813766,-0.01389373
2021-02-15,2041.18453530,2000.00000000,0.00000000,-0.00174811,1.05628792,-0.01561756
2021-02-16,2037.86140327,2000.00000000,0.00000000,-0.00162804,1.05456824,-0.01722017
2021-02-17,2034.87916822,2000.00000000,0.00000000,-0.00146341,1.05302497,-0.01865838
2021-02-18,2032.32275971,2000.00000000,0.00000000,-0.00125629,1.05170206,-0.01989124
2021-02-19,2030.27138733,2000.00000000,0.00000000,-0.00100937,1.05064050,-0.02088053
2021-02-22,2028.79792240,2000.00000000,0.00000000,-0.00072575,1.04987800,-0.02159113
2021-02-23,2027.96810560,2000.00000000,0.00000000,-0.00040902,1.04944858,-0.02199132
