date,value,contributed,cash_in,return,nav,drawdown
2021-01-01,1000.00000000,1000.00000000,1000.00000000,0.00000000,1.00000000,0.00000000
2021-01-04,1003.08430747,1000.00000000,0.00000000,0.00308431,1.00308431,0.00000000
2021-01-05,1006.16291556,1000.00000000,0.00000000,0.00306914,1.00616292,0.00000000
2021-01-06,1009.20837788,1000.00000000,0.00000000,0.00302681,1.00920838,0.00000000
2021-01-07,1012.19329257,1000.00000000,0.00000000,0.00295768,1.01219329,0.00000000
2021-01-08,1015.09066489,1000.00000000,0.00000000,0.00286247,1.01509066,0.00000000
2021-01-11,1017.87430364,1000.00000000,0.00000000,0.00274226,1.01787430,0.00000000
2021-01-12,1020.51924032,1000.00000000,0.00000000,0.00259849,1.02051924,0.00000000
2021-01-13,1023.00213449,1000.00000000,0.00000000,0.00243297,1.02300213,0.00000000
2021-01-14,1025.30165699,1000.00000000,0.00000000,0.00224782,1.02530166,0.00000000
2021-01-15,1027.39884474,1000.00000000,0.00000000,0.00204543,1.02739884,0.00000000
2021-01-18,1029.27746848,1000.00000000,0.00000000,0.00182852,1.02927747,0.00000000
2021-01-19,1030.92430316,1000.00000000,0.00000000,0.00159999,1.03092430,0.00000000
2021-01-20,1032.32938598,1000.00000000,0.00000000,0.00136293,1.03232939,0.00000000
2021-01-21,1033.48623020,1000.00000000,0.00000000,0.00112062,1.03348623,0.00000000
2021-01-22,1034.39194603,1000.00000000,0.00000000,0.00087637,1.03439195,0.00000000
2021-01-25,1035.04732803,1000.00000000,0.00000000,0.00063359,1.03504733,0.00000000
2021-01-26,1035.45687529,1000.00000000,0.00000000,0.00039568,1.03545688,0.00000000
2021-01-27,1035.62873393,1000.00000000,0.00000000,0.00016597,1.03562873,0.00000000
2021-01-28,1035.57458488,1000.00000000,0.00000000,-0.00005229,1.03557458,-0.00005229
2021-01-29,1035.30946598,1000.00000000,0.00000000,-0.00025601,1.03530947,-0.00030828
2021-02-01,2034.85155387,2000.00000000,1000.00000000,-0.00044229,1.03485155,-0.00075044
2021-02-02,2033.62176125,2000.00000000,0.00000000,-0.00060436,1.03422613,-0.00135435
2021-02-03,2032.10857043,2000.00000000,0.00000000,-0.00074409,1.03345657,-0.00209743
2021-02-04,2030.36179024,2000.00000000,0.00000000,-0.00085959,1.03256822,-0.00295522
2021-02-05,2028.43470957,2000.00000000,0.00000000,-0.00094913,1.03158818,-0.00390155
2021-02-08,2026.38329803,2000.00000000,0.00000000,-0.00101133,1.03054491,-0.00490893
2021-02-09,2024.26542464,2000.00000000,0.00000000,-0.00104515,1.02946783,-0.00594895
2021-02-10,2022.14012004,2000.00000000,0.00000000,-0.00104991,1.02838698,-0.00699262
2021-02-11,2020.06670264,2000.00000000,0.00000000,-0.00102536,1.02733252,-0.00801080
2021-02-12,2018.10410664,2000.00000000,0.00000000,-0.00097155,1.02633441,-0.00897457
2021-02-15,2016.31012408,2000.00000000,0.00000000,-0.00088894,1.02542206,-0.00985554
2021-02-16,2014.74072081,2000.00000000,0.00000000,-0.00077835,1.02462392,-0.01062622
2021-02-17,2013.44939524,2000.00000000,0.00000000,-0.00064094,1.02396719,-0.01126035
2021-02-18,2012.48666011,2000.00000000,0.00000000,-0.00047815,1.02347758,-0.01173312
2021-02-19,2011.89940885,2000.00000000,0.00000000,-0.00029180,1.02317893,-0.01202150
2021-02-22,2011.73052890,2000.00000000,0.00000000,-0.00008394,1.02309304,-0.01210443
2021-02-23,2012.01846541,2000.00000000,0.00000000,0.00014313,1.02323947,-0.01196303
2021-02-24,2012.79686136,2000.00000000,0.00000000,0.00038687,1.02363534,-0.01158079
2021-02-25,2014.09422550,2000.00000000,0.00000000,0.00064456,1.02429513,-0.01094369
2021-02-26,2015.93364611,2000.00000000,0.00000000,0.00091327,1.02523059,-0.01004041
2021-03-01,3018.33266771,3000.00000000,1000.00000000,0.00119003,1.02645065,-0.00886233
2021-03-02,3022.77422501,3000.00000000,0.00000000,0.00147153,1.02796110,-0.00740385
2021-03-03,3028.07748967,3000.00000000,0.00000000,0.00175444,1.02976459,-0.00566240
2021-03-04,3034.24220132,3000.00000000,0.00000000,0.00203585,1.03186104,-0.00363808
2021-03-05,3041.25907019,3000.00000000,0.00000000,0.00231256,1.03424728,-0.00133393
2021-03-08,3049.10975530,3000.00000000,0.00000000,0.00258139,1.03691708,0.00000000
2021-03-09,3057.76696772,3000.00000000,0.00000000,0.00283926,1.03986115,0.00000000
2021-03-10,3067.19455148,3000.00000000,0.00000000,0.00308316,1.04306721,0.00000000
2021-03-11,3077.34763369,3000.00000000,0.00000000,0.00331022,1.04651999,0.00000000
2021-03-12,3088.17299957,3000.00000000,0.00000000,0.00351776,1.05020140,0.00000000
2021-03-15,3099.60938651,3000.00000000,0.00000000,0.00370329,1.05409059,0.00000000
2021-03-16,3111.58788817,3000.00000000,0.00000000,0.00386452,1.05816414,0.00000000
2021-03-17,3124.03262351,3000.00000000,0.00000000,0.00399948,1.06239625,0.00000000
2021-03-18,3136.86122686,3000.00000000,0.00000000,0.00410642,1.06675890,0.00000000
2021-03-19,3149.98578315,3000.00000000,0.00000000,0.00418398,1.07122220,0.00000000
2021-03-22,3163.31342067,3000.00000000,0.00000000,0.00423102,1.07575455,0.00000000
2021-03-23,3176.74756995,3000.00000000,0.00000000,0.00424686,1.08032313,0.00000000
2021-03-24,3190.18873008,3000.00000000,0.00000000,0.00423111,1.08489410,0.00000000
2021-03-25,3203.53584149,3000.00000000,0.00000000,0.00418380,1.08943308,0.00000000
2021-03-26,3216.68732452,3000.00000000,0.00000000,0.00410530,1.09390553,0.00000000
2021-03-29,3229.54251534,3000.00000000,0.00000000,0.00399641,1.09827722,0.00000000
2021-03-30,3242.00285404,3000.00000000,0.00000000,0.00385824,1.10251463,0.00000000
2021-03-31,3253.97333283,3000.00000000,0.00000000,0.00369231,1.10658546,0.00000000
2021-04-01,4265.36379352,4000.00000000,1000.00000000,0.00350048,1.11045904,0.00000000
2021-04-02,4279.34167100,4000.00000000,0.00000000,0.00327707,1.11409808,0.00000000
2021-04-05,4292.35742162,4000.00000000,0.00000000,0.00304153,1.11748665,0.00000000
2021-04-06,4304.32264470,4000.00000000,0.00000000,0.00278756,1.12060171,0.00000000
2021-04-07,4315.16144420,4000.00000000,0.00000000,0.00251812,1.12342352,0.00000000
2021-04-08,4324.81155154,4000.00000000,0.00000000,0.00223633,1.12593586,0.00000000
2021-04-09,4333.22533620,4000.00000000,0.00000000,0.00194547,1.12812634,0.00000000
2021-04-12,4340.37052724,4000.00000000,0.00000000,0.00164893,1.12998654,0.00000000
2021-04-13,4346.23070739,4000.00000000,0.00000000,0.00135016,1.13151220,0.00000000
2021-04-14,4350.80539440,4000.00000000,0.00000000,0.00105256,1.13270319,0.00000000
2021-04-15,4354.11011978,4000.00000000,0.00000000,0.00075957,1.13356355,0.00000000
2021-04-16,4356.17597118,4000.00000000,0.00000000,0.00047446,1.13410138,0.00000000
2021-04-19,4357.04900854,4000.00000000,0.00000000,0.00020041,1.13432867,0.00000000
2021-04-20,4356.78944305,4000.00000000,0.00000000,-0.00005957,1.13426109,-0.00005957
2021-04-21,4355.47050727,4000.00000000,0.00000000,-0.00030273,1.13391772,-0.00036229
2021-04-22,4353.17731685,4000.00000000,0.00000000,-0.00052651,1.13332070,-0.00088860
2021-04-23,4350.00529293,4000.00000000,0.00000000,-0.00072867,1.13249489,-0.00161663
2021-04-26,4346.05873192,4000.00000000,0.00000000,-0.00090725,1.13146743,-0.00252241
2021-04-27,4341.44908467,4000.00000000,0.00000000,-0.00106065,1.13026733,-0.00358039
2021-04-28,4336.29344638,4000.00000000,0.00000000,-0.00118754,1.12892510,-0.00476367
2021-04-29,4330.71257035,4000.00000000,0.00000000,-0.00128702,1.12747215,-0.00604456
2021-04-30,4324.82947163,4000.00000000,0.00000000,-0.00135846,1.12594053,-0.00739481
2021-05-03,5318.76757552,5000.00000000,1000.00000000,-0.00140165,1.12436235,-0.00878609
2021-05-04,5311.24902337,5000.00000000,0.00000000,-0.00141359,1.12277297,-0.01018726
2021-05-05,5303.80739202,5000.00000000,0.00000000,-0.00140111,1.12119984,-0.01157410
2021-05-06,5296.58504225,5000.00000000,0.00000000,-0.00136173,1.11967307,-0.01292006
2021-05-07,5289.71773899,5000.00000000,0.00000000,-0.00129655,1.11822136,-0.01419987
2021-05-10,5283.33342794,5000.00000000,0.00000000,-0.00120693,1.11687174,-0.01538966
2021-05-11,5277.55079121,5000.00000000,0.00000000,-0.00109451,1.11564932,-0.01646732
2021-05-12,5272.47818760,5000.00000000,0.00000000,-0.00096117,1.11457700,-0.01741266
2021-05-13,5268.21257573,5000.00000000,0.00000000,-0.00080903,1.11367527,-0.01820760
2021-05-14,5264.83885342,5000.00000000,0.00000000,-0.00064039,1.11296208,-0.01883633
2021-05-17,5262.42890633,5000.00000000,0.00000000,-0.00045774,1.11245263,-0.01928546
2021-05-18,5261.04118526,5000.00000000,0.00000000,-0.00026370,1.11215927,-0.01954407
2021-05-19,5260.72018155,5000.00000000,0.00000000,-0.00006102,1.11209141,-0.01960390
2021-05-20,5261.49606811,5000.00000000,0.00000000,0.00014749,1.11225543,-0.01945930
2021-05-21,5263.38442985,5000.00000000,0.00000000,0.00035890,1.11265462,-0.01910738
2021-05-24,5266.38616376,5000.00000000,0.00000000,0.00057030,1.11328917,-0.01854797
2021-05-25,5270.48740259,5000.00000000,0.00000000,0.00077876,1.11415615,-0.01778366
2021-05-26,5275.65968253,5000.00000000,0.00000000,0.00098137,1.11524955,-0.01681975
2021-05-27,5281.85992009,5000.00000000,0.00000000,0.00117525,1.11656025,-0.01566426
2021-05-28,5289.03097692,5000.00000000,0.00000000,0.00135768,1.11807618,-0.01432785
2021-05-31,5297.10190217,5000.00000000,0.00000000,0.00152597,1.11978233,-0.01282374
2021-06-01,6305.98863744,6000.00000000,1000.00000000,0.00167766,1.12166095,-0.01116759
2021-06-02,6317.36313051,6000.00000000,0.00000000,0.00180376,1.12368416,-0.00938398
2021-06-03,6329.46163453,6000.00000000,0.00000000,0.00191512,1.12583614,-0.00748683
