date,value,contributed,cash_in,return,nav,drawdown
2021-01-01,1000.00000000,1000.00000000,1000.00000000,0.00000000,1.00000000,0.00000000
2021-01-04,998.64062866,1000.00000000,0.00000000,-0.00135937,0.99864063,-0.00135937
2021-01-05,997.28523390,1000.00000000,0.00000000,-0.00135724,0.99728523,-0.00271477
2021-01-06,995.93883470,1000.00000000,0.00000000,-0.00135006,0.99593883,-0.00406117
2021-01-07,994.60641142,1000.00000000,0.00000000,-0.00133786,0.99460641,-0.00539359
2021-01-08,993.29286723,1000.00000000,0.00000000,-0.00132067,0.99329287,-0.00670713
2021-01-11,992.00299911,1000.00000000,0.00000000,-0.00129858,0.99200300,-0.00799700
2021-01-12,990.74155579,1000.00000000,0.00000000,-0.00127161,0.99074156,-0.00925844
2021-01-13,989.51314121,1000.00000000,0.00000000,-0.00123989,0.98951314,-0.01048686
2021-01-14,988.32227247,1000.00000000,0.00000000,-0.00120349,0.98832227,-0.01167773
2021-01-15,987.17332185,1000.00000000,0.00000000,-0.00116253,0.98717332,-0.01282668
2021-01-18,986.07053620,1000.00000000,0.00000000,-0.00111711,0.98607054,-0.01392946
2021-01-19,985.01800791,1000.00000000,0.00000000,-0.00106740,0.98501801,-0.01498199
2021-01-20,984.01967494,1000.00000000,0.00000000,-0.00101352,0.98401967,-0.01598033
2021-01-21,983.07933049,1000.00000000,0.00000000,-0.00095562,0.98307933,-0.01692067
2021-01-22,982.20056507,1000.00000000,0.00000000,-0.00089389,0.98220057,-0.01779943
2021-01-25,981.38680508,1000.00000000,0.00000000,-0.00082851,0.98138681,-0.01861319
2021-01-26,980.64130321,1000.00000000,0.00000000,-0.00075964,0.98064130,-0.01935870
2021-01-27,979.96709982,1000.00000000,0.00000000,-0.00068751,0.97996710,-0.02003290
2021-01-28,979.36704219,1000.00000000,0.00000000,-0.00061232,0.97936704,-0.02063296
2021-01-29,978.84377495,1000.00000000,0.00000000,-0.00053429,0.97884377,-0.02115623
2021-02-01,1978.39974968,2000.00000000,1000.00000000,-0.00045362,0.97839975,-0.02160025
2021-02-02,1977.66659907,2000.00000000,0.00000000,-0.00037058,0.97803718,-0.02196282
2021-02-03,1977.10219118,2000.00000000,0.00000000,-0.00028539,0.97775805,-0.02224195
2021-02-04,1976.71017566,2000.00000000,0.00000000,-0.00019828,0.97756419,-0.02243581
2021-02-05,1976.49365568,2000.00000000,0.00000000,-0.00010954,0.97745711,-0.02254289
2021-02-08,1976.45536361,2000.00000000,0.00000000,-0.00001937,0.97743817,-0.02256183
2021-02-09,1976.59750486,2000.00000000,0.00000000,0.00007192,0.97750847,-0.02249153
2021-02-10,1976.92185545,2000.00000000,0.00000000,0.00016410,0.97766887,-0.02233113
2021-02-11,1977.42966447,2000.00000000,0.00000000,0.00025687,0.97792000,-0.02208000
2021-02-12,1978.12177114,2000.00000000,0.00000000,0.00035000,0.97826228,-0.02173772
2021-02-15,1978.99850724,2000.00000000,0.00000000,0.00044322,0.97869586,-0.02130414
2021-02-16,1980.05969713,2000.00000000,0.00000000,0.00053623,0.97922066,-0.02077934
2021-02-17,1981.30473578,2000.00000000,0.00000000,0.00062879,0.97983638,-0.02016362
2021-02-18,1982.73251073,2000.00000000,0.00000000,0.00072062,0.98054248,-0.01945752
2021-02-19,1984.34144112,2000.00000000,0.00000000,0.00081147,0.98133816,-0.01866184
2021-02-22,1986.12943864,2000.00000000,0.00000000,0.00090105,0.98222240,-0.01777760
2021-02-23,1988.09400513,2000.00000000,0.00000000,0.00098914,0.98319396,-0.01680604
2021-02-24,1990.23211549,2000.00000000,0.00000000,0.00107546,0.98425134,-0.01574866
2021-02-25,1992.54031523,2000.00000000,0.00000000,0.00115976,0.98539284,-0.01460716
2021-02-26,1995.01464243,2000.00000000,0.00000000,0.00124180,0.98661650,-0.01338350
2021-03-01,2997.65072532,3000.00000000,1000.00000000,0.00132134,0.98792015,-0.01207985
2021-03-02,3001.84189449,3000.00000000,0.00000000,0.00139815,0.98930141,-0.01069859
2021-03-03,3006.26062177,3000.00000000,0.00000000,0.00147201,0.99075766,-0.00924234
2021-03-04,3010.89838470,3000.00000000,0.00000000,0.00154270,0.99228611,-0.00771389
2021-03-05,3015.74592866,3000.00000000,0.00000000,0.00161000,0.99388369,-0.00611631
2021-03-08,3020.79347189,3000.00000000,0.00000000,0.00167373,0.99554718,-0.00445282
2021-03-09,3026.03061758,3000.00000000,0.00000000,0.00173370,0.99727316,-0.00272684
2021-03-10,3031.44638320,3000.00000000,0.00000000,0.00178973,0.99905801,-0.00094199
2021-03-11,3037.02922977,3000.00000000,0.00000000,0.00184164,1.00089791,0.00000000
2021-03-12,3042.76709114,3000.00000000,0.00000000,0.00188930,1.00278891,0.00000000
2021-03-15,3048.64737401,3000.00000000,0.00000000,0.00193254,1.00472685,0.00000000
2021-03-16,3054.65701648,3000.00000000,0.00000000,0.00197125,1.00670741,0.00000000
2021-03-17,3060.78251736,3000.00000000,0.00000000,0.00200530,1.00872616,0.00000000
2021-03-18,3067.00990687,3000.00000000,0.00000000,0.00203457,1.01077849,0.00000000
2021-03-19,3073.32492236,3000.00000000,0.00000000,0.00205901,1.01285970,0.00000000
2021-03-22,3079.71280329,3000.00000000,0.00000000,0.00207849,1.01496492,0.00000000
2021-03-23,3086.15858415,3000.00000000,0.00000000,0.00209298,1.01708922,0.00000000
2021-03-24,3092.64697723,3000.00000000,0.00000000,0.00210242,1.01922757,0.00000000
2021-03-25,3099.16243128,3000.00000000,0.00000000,0.00210676,1.02137483,0.00000000
2021-03-26,3105.68921930,3000.00000000,0.00000000,0.00210598,1.02352583,0.00000000
2021-03-29,3112.21143859,3000.00000000,0.00000000,0.00210009,1.02567532,0.00000000
2021-03-30,3118.71304000,3000.00000000,0.00000000,0.00208906,1.02781802,0.00000000
2021-03-31,3125.17794510,3000.00000000,0.00000000,0.00207294,1.02994863,0.00000000
2021-04-01,4131.59004619,4000.00000000,1000.00000000,0.00205176,1.03206183,0.00000000
2021-04-02,4139.95878461,4000.00000000,0.00000000,0.00202555,1.03415232,0.00000000
2021-04-05,4148.21543189,4000.00000000,0.00000000,0.00199438,1.03621481,0.00000000
2021-04-06,4156.33896851,4000.00000000,0.00000000,0.00195832,1.03824406,0.00000000
2021-04-07,4164.30864544,4000.00000000,0.00000000,0.00191748,1.04023486,0.00000000
2021-04-08,4172.10398412,4000.00000000,0.00000000,0.00187194,1.04218212,0.00000000
2021-04-09,4179.70477645,4000.00000000,0.00000000,0.00182181,1.04408078,0.00000000
2021-04-12,4187.09131666,4000.00000000,0.00000000,0.00176724,1.04592592,0.00000000
2021-04-13,4194.24440125,4000.00000000,0.00000000,0.00170837,1.04771275,0.00000000
2021-04-14,4201.14525177,4000.00000000,0.00000000,0.00164531,1.04943656,0.00000000
2021-04-15,4207.77582391,4000.00000000,0.00000000,0.00157828,1.05109287,0.00000000
2021-04-16,4214.11873021,4000.00000000,0.00000000,0.00150742,1.05267731,0.00000000
2021-04-19,4220.15724006,4000.00000000,0.00000000,0.00143292,1.05418572,0.00000000
2021-04-20,4225.87547292,4000.00000000,0.00000000,0.00135498,1.05561412,0.00000000
2021-04-21,4231.25843694,4000.00000000,0.00000000,0.00127381,1.05695877,0.00000000
2021-04-22,4236.29199032,4000.00000000,0.00000000,0.00118961,1.05821614,0.00000000
2021-04-23,4240.96299586,4000.00000000,0.00000000,0.00110262,1.05938295,0.00000000
2021-04-26,4245.25928235,4000.00000000,0.00000000,0.00101305,1.06045615,0.00000000
