# SIMULATED TEACHING DATA; synthetic weekday grid, not real market prices or actual exchange sessions.
date,asset_a,asset_b
2021-01-01,100.0,103.606716
2021-01-04,100.604676,103.465876
2021-01-05,101.208137,103.325448
2021-01-06,101.805474,103.185952
2021-01-07,102.391788,103.047904
2021-01-08,102.962253,102.911812
2021-01-11,103.512184,102.778173
2021-01-12,104.037103,102.647479
2021-01-13,104.532813,102.520207
2021-01-14,104.995458,102.396825
2021-01-15,105.421586,102.277786
2021-01-18,105.808209,102.16353
2021-01-19,106.15285,102.054481
2021-01-20,106.453586,101.951047
2021-01-21,106.709083,101.853621
2021-01-22,106.91862,101.762575
2021-01-25,107.082101,101.678264
2021-01-26,107.200059,101.601025
2021-01-27,107.273649,101.531173
2021-01-28,107.304628,101.469003
2021-01-29,107.295326,101.414789
2021-02-01,107.248609,101.368785
2021-02-02,107.167835,101.33122
2021-02-03,107.056797,101.302301
2021-02-04,106.919665,101.282215
2021-02-05,106.760928,101.271121
2021-02-08,106.585319,101.269159
2021-02-09,106.397753,101.276442
2021-02-10,106.20326,101.293061
2021-02-11,106.006913,101.31908
2021-02-12,105.813766,101.354542
2021-02-15,105.628792,101.399464
2021-02-16,105.456824,101.453837
2021-02-17,105.302497,101.51763
2021-02-18,105.170206,101.590786
2021-02-19,105.06405,101.673224
2021-02-22,104.9878,101.764837
2021-02-23,104.944858,101.865497
2021-02-24,104.93823,101.975049
2021-02-25,104.970494,102.093316
2021-02-26,105.043778,102.220095
2021-03-01,105.159746,102.355162
2021-03-02,105.319577,102.49827
2021-03-03,105.523956,102.649148
2021-03-04,105.773065,102.807505
2021-03-05,106.066581,102.973025
2021-03-08,106.40367,103.145374
2021-03-09,106.782995,103.324197
2021-03-10,107.20272,103.509119
2021-03-11,107.660518,103.699746
2021-03-12,108.153592,103.895666
2021-03-15,108.678692,104.096449
2021-03-16,109.232137,104.301649
2021-03-17,109.809853,104.510805
2021-03-18,110.407402,104.72344
2021-03-19,111.020032,104.939067
2021-03-22,111.642716,105.157182
2021-03-23,112.270218,105.377274
2021-03-24,112.89714,105.598821
2021-03-25,113.518,105.821292
